<TICKER>;<PER>;<DATE>;<OPEN>;<CLOSE>;<AMOUNT>;<VOLUME>;<EBITDA>;<FCF>;<OCF>;<OPER INCOME>;<NET INCOME>;<REVENUE>
Sberbank;D;30.09.2022;111;110,21;133 569 040;14 569 420 124,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;03.10.2022;110,62;114,35;73 960 960;8 280 923 624,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.10.2022;115,06;110,55;83 564 680;9 371 218 814,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.10.2022;110,49;108,51;90 416 920;9 776 634 296,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.10.2022;108,65;108,24;51 741 480;5 630 301 035,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;07.10.2022;107,7;101,5;90 989 490;9 560 941 533,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;10.10.2022;96,55;106,71;117 465 350;12 100 541 809,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.10.2022;106,5;107,72;76 962 080;8 212 972 233,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;12.10.2022;108,27;105,9;63 378 400;6 748 220 830,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;13.10.2022;105,72;106,5;46 849 810;4 973 132 486,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
